Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
The Warriors,PSP,2007.0,Action,Take-Two Interactive,0.23,0.01,0.0,0.02,0.27,81.0,36.0,7.8,21.0,M
Disgaea 3: Absence of Detention,PSV,2008.0,Role-Playing,Nippon Ichi Software,0.11,0.05,0.07,0.03,0.27,78.0,28.0,7.6,116.0,T
Iron Man 2,X360,2010.0,Action,Sega,0.15,0.09,0.0,0.03,0.27,41.0,35.0,5.9,54.0,T
Rocky: Legends,PS2,2004.0,Action,Ubisoft,0.13,0.1,0.0,0.03,0.27,65.0,24.0,8.6,12.0,T
Pac-Pix,DS,2005.0,Puzzle,Namco Bandai Games,0.16,0.0,0.1,0.01,0.27,71.0,41.0,7.1,7.0,E
RalliSport Challenge 2,X,2004.0,Racing,Microsoft Game Studios,0.18,0.08,0.0,0.01,0.27,87.0,69.0,9.1,33.0,E
F1 Race Stars,X360,2012.0,Racing,Codemasters,0.07,0.17,0.0,0.02,0.27,64.0,33.0,5.7,22.0,E
Wave Rally,PS2,2001.0,Racing,Eidos Interactive,0.13,0.1,0.0,0.03,0.27,62.0,17.0,4.5,4.0,E
RollerCoaster Tycoon 3,PC,2004.0,Strategy,Atari,0.01,0.22,0.0,0.04,0.27,81.0,39.0,5.1,348.0,E
NHL 07,X360,2006.0,Sports,Electronic Arts,0.25,0.0,0.0,0.02,0.27,79.0,49.0,5.3,167.0,E10+
Ty the Tasmanian Tiger,GC,2002.0,Platform,Electronic Arts,0.21,0.05,0.0,0.01,0.27,69.0,12.0,8.5,16.0,E
WWE Road to WrestleMania X8,GBA,2002.0,Fighting,THQ,0.19,0.07,0.0,0.0,0.27,73.0,10.0,7.5,6.0,E
Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,2004.0,Role-Playing,Square Enix,0.13,0.1,0.0,0.03,0.27,67.0,21.0,8.4,20.0,T
NASCAR 06: Total Team Control,X,2005.0,Racing,Electronic Arts,0.2,0.06,0.0,0.01,0.27,79.0,25.0,5.9,7.0,E
BloodRayne 2,PS2,2004.0,Shooter,THQ,0.13,0.1,0.0,0.03,0.27,70.0,26.0,8.5,21.0,M
The Clu,X360,2008.0,Shooter,Sega,0.15,0.1,0.0,0.02,0.27,76.0,63.0,6.8,43.0,M
LEGO The Hobbit,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,0.13,0.12,0.0,0.02,0.27,69.0,20.0,6.8,36.0,E10+
Lightning Returns: Final Fantasy XIII,X360,2013.0,Role-Playing,Square Enix,0.15,0.08,0.01,0.02,0.27,69.0,21.0,6.6,225.0,T
NHL 2002,X,2001.0,Sports,Electronic Arts,0.2,0.06,0.0,0.01,0.27,89.0,17.0,8.8,5.0,E
Shadow of Rome,PS2,2005.0,Action,Capcom,0.13,0.1,0.0,0.03,0.27,75.0,52.0,8.3,62.0,M
NASCAR 2011: The Game,PS3,2011.0,Racing,Activision,0.25,0.0,0.0,0.02,0.27,62.0,16.0,3.7,15.0,E
Transformers: Cybertron Adventures,Wii,2010.0,Action,Activision,0.14,0.1,0.0,0.02,0.27,41.0,15.0,6.5,8.0,T
Harry Potter and the Order of the Phoenix,PS2,2007.0,Action,Electronic Arts,0.13,0.1,0.0,0.03,0.27,61.0,17.0,8.0,28.0,E10+
Tearaway Unfolded,PS4,2015.0,Platform,Sony Computer Entertainment,0.1,0.13,0.0,0.04,0.27,81.0,70.0,8.2,193.0,E
Gun,X360,2005.0,Shooter,Activision,0.24,0.01,0.0,0.02,0.27,75.0,53.0,7.5,57.0,M
Stuntman: Ignition,PS2,2007.0,Racing,THQ,0.13,0.1,0.0,0.03,0.27,71.0,8.0,6.4,8.0,T
NHL 2K11,Wii,2010.0,Sports,Take-Two Interactive,0.23,0.02,0.0,0.02,0.27,62.0,12.0,5.8,4.0,E10+
Fantastic 4,X,2005.0,Action,Activision,0.2,0.06,0.0,0.01,0.27,62.0,46.0,6.6,8.0,T
Batman: Arkham Origins Blackgate,3DS,2013.0,Action,Warner Bros. Interactive Entertainment,0.16,0.09,0.0,0.02,0.27,68.0,7.0,6.8,38.0,T
Shadows of the Damned,PS3,2011.0,Action,Electronic Arts,0.11,0.09,0.04,0.03,0.27,77.0,56.0,8.1,126.0,M
MotoGP,PS2,2000.0,Racing,Namco Bandai Games,0.06,0.05,0.14,0.02,0.27,77.0,16.0,6.0,5.0,E
R.U.S.E.,PC,2010.0,Strategy,Ubisoft,0.04,0.19,0.0,0.04,0.27,76.0,33.0,8.1,177.0,T
Rock Revolution,PS3,2008.0,Misc,Konami Digital Entertainment,0.25,0.0,0.0,0.02,0.27,42.0,20.0,6.6,12.0,T
NBA Live 2004,GC,2003.0,Sports,Electronic Arts,0.21,0.05,0.0,0.01,0.27,84.0,17.0,9.0,4.0,E
XGIII: Extreme G Racing,PS2,2001.0,Racing,Acclaim Entertainment,0.13,0.1,0.0,0.03,0.27,81.0,21.0,8.2,9.0,E
Reign of Fire,PS2,2002.0,Shooter,BAM! Entertainment,0.13,0.1,0.0,0.03,0.27,56.0,16.0,7.0,4.0,M
Tropico 4,PC,2011.0,Strategy,Kalypso Media,0.1,0.13,0.0,0.04,0.27,78.0,46.0,7.7,359.0,T
The Sims 2: Pets,GC,2006.0,Simulation,Electronic Arts,0.21,0.05,0.0,0.01,0.27,66.0,15.0,7.3,8.0,T
The BIGS,X360,2007.0,Sports,Take-Two Interactive,0.18,0.08,0.0,0.0,0.27,79.0,23.0,8.4,21.0,E
Jurassic Park: Operation Genesis,PS2,2003.0,Simulation,Konami Digital Entertainment,0.13,0.1,0.0,0.03,0.27,75.0,13.0,8.9,21.0,T
Knockout Kings 2002,X,2002.0,Sports,Electronic Arts,0.2,0.06,0.0,0.01,0.27,78.0,20.0,7.9,7.0,T
InuYasha: Feudal Combat,PS2,2005.0,Fighting,Namco Bandai Games,0.13,0.1,0.0,0.03,0.27,52.0,14.0,8.3,21.0,T
R.U.S.E.,X360,2010.0,Strategy,Ubisoft,0.12,0.11,0.0,0.02,0.27,78.0,45.0,7.0,38.0,T
Duel Masters,PS2,2004.0,Strategy,Atari,0.13,0.1,0.0,0.03,0.27,66.0,20.0,8.3,6.0,E
MotionSports: Adrenaline,X360,2011.0,Sports,Ubisoft,0.14,0.1,0.0,0.03,0.27,41.0,8.0,6.5,8.0,E
NBA 07,PS3,2006.0,Sports,Sony Computer Entertainment,0.24,0.0,0.01,0.02,0.27,63.0,24.0,6.3,10.0,E
Call of Juarez: The Cartel,X360,2011.0,Shooter,Ubisoft,0.14,0.1,0.0,0.03,0.27,47.0,62.0,5.7,109.0,M
Suikoden Tierkreis,DS,2008.0,Role-Playing,Konami Digital Entertainment,0.09,0.02,0.15,0.01,0.27,76.0,24.0,7.4,37.0,E10+
My Japanese Coach,DS,2008.0,Misc,Ubisoft,0.24,0.0,0.0,0.02,0.27,59.0,4.0,6.7,6.0,E
Need for Speed: Most Wanted,DS,2005.0,Racing,Electronic Arts,0.24,0.01,0.0,0.02,0.27,45.0,4.0,6.1,22.0,E
Section 8,X360,2009.0,Shooter,SouthPeak Games,0.15,0.09,0.0,0.02,0.27,69.0,49.0,7.3,59.0,T
The Legend of Legacy,3DS,2015.0,Role-Playing,FuRyu,0.13,0.01,0.11,0.02,0.27,67.0,31.0,7.1,55.0,E10+
ESPN NBA Basketball,X,2003.0,Sports,Sega,0.2,0.06,0.0,0.01,0.27,87.0,18.0,8.2,25.0,E
Family Guy: Back to the Multiverse,PS3,2012.0,Action,Activision,0.12,0.1,0.0,0.04,0.26,40.0,9.0,6.4,31.0,M
Lowrider,PS2,2002.0,Misc,Pacific Century Cyber Works,0.11,0.09,0.03,0.03,0.26,46.0,14.0,8.4,11.0,T
All-Pro Football 2K8,X360,2007.0,Sports,Take-Two Interactive,0.24,0.0,0.0,0.02,0.26,75.0,22.0,6.8,52.0,E10+
Fish Tycoon,DS,2007.0,Simulation,Majesco Entertainment,0.24,0.0,0.0,0.02,0.26,46.0,9.0,7.0,6.0,E
Plants vs. Zombies,X360,2010.0,Strategy,PopCap Games,0.24,0.0,0.0,0.02,0.26,89.0,27.0,8.2,161.0,E10+
Rune: Viking Warlord,PS2,2001.0,Action,Take-Two Interactive,0.13,0.1,0.0,0.03,0.26,53.0,16.0,7.3,11.0,M
MLB 09: The Show,PSP,2009.0,Sports,Sony Computer Entertainment,0.24,0.0,0.0,0.02,0.26,78.0,12.0,6.9,7.0,E
The Incredible Hulk,X360,2008.0,Action,Sega,0.22,0.02,0.0,0.02,0.26,55.0,42.0,6.4,24.0,T
Panzer Dragoon Orta,X,2002.0,Shooter,Sega,0.16,0.05,0.04,0.01,0.26,90.0,41.0,8.6,65.0,T
Americas Test Kitchen: Lets Get Cooking,DS,2010.0,Simulation,Nintendo,0.25,0.0,0.0,0.02,0.26,87.0,4.0,5.6,9.0,E
ExciteBots: Trick Racing,Wii,2009.0,Racing,Nintendo,0.24,0.0,0.0,0.02,0.26,77.0,29.0,8.6,26.0,E
Superman Returns,X360,2006.0,Action,Electronic Arts,0.23,0.01,0.0,0.02,0.26,51.0,48.0,6.2,49.0,T
Sword Art Online: Lost Song,PS4,2015.0,Role-Playing,Namco Bandai Games,0.11,0.11,0.0,0.04,0.26,63.0,32.0,6.3,60.0,T
Shin Megami Tensei: Devil Survivor,DS,2009.0,Role-Playing,Atlus,0.13,0.0,0.12,0.01,0.26,84.0,28.0,8.8,79.0,T
MLB SlugFest 2006,PS2,2006.0,Sports,Midway Games,0.13,0.1,0.0,0.03,0.26,56.0,11.0,7.5,10.0,E10+
Etrian Odyssey II: Heroes of Lagaard,DS,2008.0,Role-Playing,Atlus,0.09,0.0,0.16,0.01,0.26,82.0,17.0,8.9,24.0,E10+
The Incredible Hulk,PS3,2008.0,Action,Sega,0.22,0.02,0.0,0.02,0.26,55.0,26.0,6.8,20.0,T
Deadly Premonition,X360,2010.0,Action,Rising Star Games,0.18,0.06,0.0,0.02,0.26,68.0,39.0,8.2,332.0,M
LEGO Marvels Avengers,WiiU,2016.0,Action,Warner Bros. Interactive Entertainment,0.13,0.1,0.01,0.02,0.26,69.0,4.0,6.8,15.0,E10+
Mafia III,PC,2016.0,Action,Take-Two Interactive,0.11,0.13,0.0,0.02,0.26,63.0,29.0,3.2,927.0,M
The Adventures of Tintin: The Game,PS3,2011.0,Action,Ubisoft,0.06,0.15,0.0,0.05,0.26,59.0,27.0,5.7,13.0,E10+
Ford Racing 3,PS2,2004.0,Racing,Take-Two Interactive,0.13,0.1,0.0,0.03,0.26,50.0,7.0,6.6,8.0,E
Dragon Ball Z: Tenkaichi Tag Team,PSP,2010.0,Fighting,Namco Bandai Games,0.11,0.03,0.09,0.03,0.26,63.0,22.0,8.6,20.0,T
Etrian Odyssey Untold: The Millennium Girl,3DS,2013.0,Role-Playing,Atlus,0.1,0.01,0.14,0.01,0.26,80.0,41.0,8.2,89.0,T
Dragon Ball: Xenoverse 2,XOne,2016.0,Action,Namco Bandai Games,0.15,0.09,0.0,0.02,0.26,73.0,8.0,7.4,30.0,T
Final Fantasy V Advance,GBA,2006.0,Role-Playing,Nintendo,0.0,0.0,0.26,0.01,0.26,83.0,25.0,7.3,77.0,E
Star Wars: Bounty Hunter,GC,2002.0,Shooter,LucasArts,0.2,0.05,0.0,0.01,0.26,67.0,20.0,7.6,16.0,T
Dynasty Warriors 7: Xtreme Legends,PS3,2011.0,Action,Tecmo Koei,0.04,0.04,0.16,0.02,0.26,64.0,11.0,7.8,10.0,T
Angry Birds Trilogy,X360,2012.0,Action,Activision,0.18,0.05,0.0,0.02,0.26,63.0,13.0,3.5,27.0,E
Naruto: Ultimate Ninja Heroes,PSP,2006.0,Fighting,Namco Bandai Games,0.26,0.0,0.0,0.0,0.26,70.0,11.0,6.6,11.0,T
Major League Baseball 2K9,Wii,2009.0,Sports,Take-Two Interactive,0.24,0.0,0.0,0.02,0.26,61.0,5.0,4.5,10.0,E
Battlestations: Midway,X360,2007.0,Strategy,Eidos Interactive,0.21,0.02,0.0,0.02,0.26,73.0,55.0,7.1,40.0,T
Riding Spirits,PS2,2002.0,Racing,BAM! Entertainment,0.13,0.1,0.0,0.03,0.26,59.0,14.0,9.0,17.0,E
Bust A Groove 2,PS,1999.0,Misc,Enix Corporation,0.04,0.03,0.18,0.02,0.26,66.0,8.0,8.9,35.0,E
Armored Core: Nexus,PS2,2004.0,Simulation,Indie Games,0.06,0.05,0.14,0.02,0.26,73.0,19.0,8.7,7.0,T
Evolution Skateboarding,PS2,2002.0,Sports,Konami Digital Entertainment,0.13,0.1,0.0,0.03,0.26,44.0,14.0,6.7,9.0,T
Outlaw Volleyball,X,2003.0,Sports,TDK Mediactive,0.19,0.06,0.0,0.01,0.26,77.0,33.0,8.4,7.0,M
Batman: Vengeance,GC,2001.0,Adventure,Ubisoft,0.2,0.05,0.0,0.01,0.26,70.0,17.0,5.8,16.0,T
XCOM 2,PC,2016.0,Strategy,Take-Two Interactive,0.1,0.14,0.0,0.02,0.26,88.0,104.0,7.1,1242.0,T
Spider-Man: Web of Shadows,PS3,2008.0,Action,Activision,0.2,0.04,0.0,0.02,0.26,67.0,44.0,7.9,34.0,T
Crash Nitro Kart,GC,2003.0,Racing,Vivendi Games,0.2,0.05,0.0,0.01,0.26,66.0,10.0,7.4,8.0,E
Legaia 2: Duel Saga,PS2,2001.0,Role-Playing,Eidos Interactive,0.13,0.1,0.0,0.03,0.26,67.0,21.0,8.4,43.0,T
Oddworld: Strangers Wrath,X,2005.0,Adventure,Electronic Arts,0.19,0.06,0.0,0.01,0.26,88.0,65.0,9.1,58.0,T
King of Fighters: Maximum Impact,PS2,2004.0,Fighting,Ignition Entertainment,0.13,0.1,0.0,0.03,0.26,64.0,45.0,6.9,12.0,T
Atelier Ayesha: The Alchemist of Dusk,PS3,2012.0,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.26,70.0,17.0,6.6,120.0,T
Drakan: The Ancients Gates,PS2,2002.0,Adventure,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26,78.0,31.0,9.0,39.0,M
The Sims 4: Get Together,PC,2015.0,Simulation,Electronic Arts,0.05,0.19,0.0,0.02,0.26,72.0,16.0,7.4,119.0,T
Resident Evil: Revelations,X360,2013.0,Action,Capcom,0.12,0.1,0.02,0.02,0.26,75.0,30.0,7.4,170.0,M
Tony Hawk: Shred,X360,2010.0,Sports,Activision,0.17,0.06,0.0,0.02,0.26,53.0,10.0,6.6,10.0,E
Tokyo Jungle,PS3,2012.0,Action,Sony Computer Entertainment,0.0,0.0,0.26,0.0,0.26,74.0,60.0,8.4,89.0,T
Puppeteer,PS3,2013.0,Platform,Sony Computer Entertainment Europe,0.11,0.08,0.02,0.04,0.26,80.0,75.0,8.5,238.0,E10+
Army of Two: The Devils Cartel,X360,2013.0,Shooter,Electronic Arts,0.16,0.07,0.0,0.02,0.26,54.0,55.0,6.2,196.0,M
Anno 2205,PC,2015.0,Strategy,Ubisoft,0.02,0.22,0.0,0.02,0.26,72.0,45.0,5.9,281.0,E10+
Resident Evil: Deadly Silence,DS,2006.0,Action,Capcom,0.11,0.02,0.11,0.01,0.26,71.0,41.0,8.4,36.0,M
Tom Clancys Splinter Cell: Double Agent,PS3,2007.0,Action,Ubisoft,0.2,0.03,0.0,0.03,0.26,78.0,17.0,6.5,41.0,M
Legendary,X360,2008.0,Shooter,Atari,0.08,0.15,0.0,0.03,0.26,47.0,39.0,7.1,87.0,M
Rayman DS,DS,2005.0,Platform,Ubisoft,0.21,0.03,0.0,0.02,0.26,58.0,20.0,7.6,19.0,E
Peter Jacksons King Kong: The Official Game of the Movie,X360,2005.0,Action,Ubisoft,0.2,0.03,0.0,0.02,0.26,80.0,57.0,7.5,79.0,T
Metroid Prime Pinball,DS,2005.0,Misc,Nintendo,0.21,0.0,0.02,0.02,0.26,79.0,51.0,7.9,32.0,E
All-Star Baseball 2003,X,2002.0,Sports,Acclaim Entertainment,0.19,0.06,0.0,0.01,0.26,79.0,15.0,8.1,7.0,E
MTX Mototrax,PS2,2004.0,Racing,Activision,0.13,0.1,0.0,0.03,0.26,77.0,30.0,8.1,9.0,E
NBA ShootOut 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26,58.0,19.0,7.8,8.0,E
Nancy Drew: The Mystery of the Clue Bender Society,DS,2008.0,Adventure,Codemasters,0.24,0.0,0.0,0.02,0.26,46.0,5.0,3.6,5.0,E10+
Castlevania: Harmony of Dissonance,GBA,2002.0,Platform,Konami Digital Entertainment,0.16,0.06,0.04,0.0,0.26,87.0,27.0,8.2,39.0,T
Hatsune Miku: Project Diva F 2nd,PS3,2014.0,Misc,Sega,0.1,0.03,0.1,0.03,0.26,78.0,15.0,8.6,49.0,T
Formula One 2001,PS2,2001.0,Racing,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26,73.0,18.0,6.0,5.0,E
Pirates of the Caribbean: Dead Mans Chest,DS,2006.0,Adventure,Disney Interactive Studios,0.23,0.01,0.0,0.02,0.26,63.0,11.0,8.6,7.0,T
Baldurs Gate: Dark Alliance II,X,2004.0,Role-Playing,Acclaim Entertainment,0.19,0.06,0.0,0.01,0.26,77.0,44.0,7.9,16.0,T
Madden NFL 2005,DS,2004.0,Sports,Electronic Arts,0.24,0.0,0.0,0.02,0.26,68.0,25.0,7.7,7.0,E
Polarium,DS,2004.0,Puzzle,Nintendo,0.13,0.01,0.11,0.01,0.26,73.0,34.0,8.4,17.0,E
MVP Baseball 2004,GC,2004.0,Sports,Electronic Arts,0.2,0.05,0.0,0.01,0.26,89.0,25.0,8.5,11.0,E
The Elder Scrolls IV: Oblivion,PC,2006.0,Role-Playing,Take-Two Interactive,0.01,0.2,0.0,0.04,0.26,94.0,54.0,8.1,2468.0,M
Secret Weapons Over Normandy,X,2003.0,Simulation,LucasArts,0.19,0.05,0.0,0.01,0.25,77.0,31.0,8.8,4.0,T
Super Street Fighter II: Turbo Revival,GBA,2001.0,Fighting,Ubisoft,0.18,0.07,0.0,0.0,0.25,84.0,17.0,7.4,10.0,T
Teen Titans,PS2,2006.0,Action,THQ,0.12,0.1,0.0,0.03,0.25,56.0,12.0,8.2,20.0,E10+
Bomberman Generation,GC,2002.0,Adventure,Vivendi Games,0.15,0.04,0.06,0.01,0.25,81.0,19.0,8.5,15.0,E
Sega Rally Revo,PSP,2007.0,Racing,Sega,0.03,0.15,0.0,0.07,0.25,74.0,14.0,7.2,9.0,E
Surfing H3O,PS2,2000.0,Sports,Take-Two Interactive,0.12,0.1,0.0,0.03,0.25,46.0,15.0,4.6,8.0,E
NASCAR 09,X360,2008.0,Racing,Electronic Arts,0.23,0.0,0.0,0.02,0.25,69.0,32.0,7.8,15.0,E
NASCAR 09,PS3,2008.0,Racing,Electronic Arts,0.22,0.01,0.0,0.02,0.25,65.0,22.0,7.5,10.0,E
Game of Thrones,X360,2012.0,Role-Playing,Focus Home Interactive,0.15,0.08,0.0,0.02,0.25,52.0,35.0,5.2,126.0,M
Silent Hunter 5: Battle of the Atlantic,PC,2010.0,Simulation,Ubisoft,0.0,0.21,0.0,0.05,0.25,62.0,26.0,3.5,104.0,T
L.A. Noire: The Complete Edition,PC,2011.0,Adventure,Take-Two Interactive,0.09,0.13,0.0,0.03,0.25,83.0,28.0,7.9,912.0,M
Amped 2,X,2003.0,Sports,Microsoft Game Studios,0.2,0.04,0.0,0.01,0.25,80.0,34.0,7.7,20.0,E
Final Fantasy Crystal Chronicles: Echoes of Time,Wii,2009.0,Role-Playing,Square Enix,0.13,0.06,0.05,0.02,0.25,64.0,29.0,5.6,11.0,E10+
College Hoops 2K6,PS2,2005.0,Sports,Take-Two Interactive,0.12,0.1,0.0,0.03,0.25,77.0,14.0,7.3,6.0,E
NHL 08,PS3,2007.0,Action,Electronic Arts,0.16,0.06,0.0,0.03,0.25,86.0,23.0,6.9,23.0,E10+
Juiced 2: Hot Import Nights,PS3,2007.0,Racing,THQ,0.18,0.04,0.01,0.03,0.25,71.0,10.0,6.4,5.0,T
Stella Glow,3DS,2015.0,Role-Playing,Atlus,0.17,0.01,0.05,0.02,0.25,79.0,32.0,8.7,82.0,T
LEGO Star Wars III: The Clone Wars,PC,2011.0,Action,LucasArts,0.1,0.13,0.0,0.03,0.25,76.0,14.0,7.5,44.0,E10+
The Powerpuff Girls: Chemical X-Traction,PS,2001.0,Action,BAM! Entertainment,0.14,0.1,0.0,0.02,0.25,30.0,6.0,6.3,4.0,E
Dead or Alive Xtreme 2,X360,2006.0,Sports,Tecmo Koei,0.15,0.02,0.06,0.02,0.25,53.0,46.0,6.7,42.0,M
Hunted: The Demons Forge,PS3,2011.0,Action,Bethesda Softworks,0.12,0.08,0.02,0.03,0.25,57.0,34.0,6.2,70.0,M
Men of Valor,X,2004.0,Shooter,Vivendi Games,0.19,0.05,0.0,0.01,0.25,73.0,47.0,8.0,8.0,M
Prison Break: The Conspiracy,PS3,2010.0,Action,Deep Silver,0.05,0.15,0.0,0.05,0.25,42.0,33.0,3.8,20.0,T
Medal of Honor European Assault,GC,2005.0,Shooter,Electronic Arts,0.19,0.05,0.0,0.01,0.25,71.0,22.0,7.9,14.0,T
F1 2015,XOne,2015.0,Racing,Codemasters,0.09,0.15,0.0,0.02,0.25,64.0,13.0,5.3,22.0,E
Skylanders SWAP Force,3DS,2013.0,Platform,Activision,0.11,0.12,0.0,0.02,0.25,68.0,12.0,6.4,13.0,E10+
Billy Hatcher and the Giant Egg,GC,2003.0,Platform,Sega,0.19,0.05,0.0,0.01,0.25,71.0,37.0,8.7,32.0,E
NHL 08,X360,2007.0,Action,Electronic Arts,0.22,0.01,0.0,0.02,0.25,85.0,44.0,8.2,44.0,E10+
WipEout Fusion,PS2,2002.0,Racing,Sony Computer Entertainment,0.12,0.1,0.0,0.03,0.25,83.0,21.0,8.5,43.0,E
Onechanbara Z2: Chaos,PS4,2014.0,Action,Nippon Ichi Software,0.14,0.03,0.04,0.04,0.25,57.0,40.0,6.5,72.0,M
NHL 06,X,2005.0,Sports,Electronic Arts,0.19,0.05,0.0,0.01,0.25,79.0,35.0,8.4,18.0,E10+
TV Superstars,PS3,2010.0,Misc,Sony Computer Entertainment,0.08,0.12,0.0,0.05,0.25,56.0,17.0,4.9,8.0,E
Ultimate Fighting Championship,PS,2000.0,Fighting,Ubisoft,0.14,0.09,0.0,0.02,0.25,53.0,6.0,7.4,16.0,T
XIII,X,2003.0,Shooter,Ubisoft,0.16,0.08,0.0,0.01,0.25,74.0,38.0,8.3,15.0,M
Up,PS3,2009.0,Action,THQ,0.15,0.06,0.0,0.03,0.25,65.0,5.0,6.5,4.0,E10+
Michael Jackson: The Experience,DS,2010.0,Misc,Ubisoft,0.21,0.02,0.0,0.02,0.25,64.0,5.0,6.6,5.0,E10+
MotoGP 07,X360,2007.0,Racing,THQ,0.23,0.0,0.0,0.02,0.25,78.0,20.0,7.3,11.0,E
Cars,X360,2006.0,Racing,THQ,0.22,0.01,0.0,0.02,0.25,65.0,16.0,6.1,8.0,E
The Bureau: XCOM Declassified,PS3,2013.0,Shooter,Take-Two Interactive,0.08,0.13,0.0,0.04,0.25,69.0,22.0,6.7,79.0,M
Need for Speed Rivals,PC,2013.0,Racing,Electronic Arts,0.04,0.19,0.0,0.02,0.25,76.0,16.0,3.3,547.0,E10+
The Mummy: Tomb of the Dragon Emperor,PS2,2008.0,Action,Vivendi Games,0.12,0.1,0.0,0.03,0.25,38.0,7.0,6.8,6.0,T
Def Jam Vendetta,GC,2003.0,Fighting,Electronic Arts,0.19,0.05,0.0,0.01,0.25,81.0,22.0,8.5,8.0,T
Spider-Man: Web of Shadows,Wii,2008.0,Action,Activision,0.22,0.01,0.0,0.02,0.25,63.0,20.0,6.9,13.0,T
The Sims 2,X,2005.0,Simulation,Electronic Arts,0.19,0.05,0.0,0.01,0.25,75.0,31.0,7.1,8.0,T
Etrian Mystery Dungeon,3DS,2015.0,Role-Playing,Nippon Ichi Software,0.1,0.01,0.13,0.01,0.25,77.0,44.0,7.9,49.0,E10+
World Series Baseball 2K3,PS2,2003.0,Sports,Sega,0.12,0.1,0.0,0.03,0.25,87.0,21.0,8.7,19.0,E
Tony Hawks Proving Ground,Wii,2007.0,Sports,Activision,0.22,0.01,0.0,0.02,0.25,57.0,8.0,6.2,19.0,T
Indiana Jones and the Staff of Kings,PSP,2009.0,Action,Activision,0.11,0.09,0.0,0.05,0.25,63.0,10.0,7.8,17.0,T
The Outfit,X360,2006.0,Action,THQ,0.21,0.02,0.0,0.02,0.25,70.0,52.0,7.5,48.0,M
Don King Presents: Prizefighter,X360,2008.0,Sports,Take-Two Interactive,0.14,0.08,0.0,0.02,0.25,56.0,45.0,6.4,29.0,T
Devil Kings,PS2,2005.0,Action,Capcom,0.03,0.03,0.18,0.01,0.25,64.0,27.0,7.4,12.0,T
Bolt,X360,2008.0,Adventure,Disney Interactive Studios,0.18,0.05,0.0,0.02,0.25,57.0,18.0,7.1,7.0,E10+
Spider-Man: Edge of Time,X360,2011.0,Action,Activision,0.18,0.05,0.0,0.02,0.25,57.0,50.0,6.8,34.0,T
Dynasty Warriors 6,PS2,2008.0,Action,Tecmo Koei,0.12,0.09,0.0,0.03,0.25,43.0,7.0,5.5,15.0,T
Americas Army: Rise of a Soldier,X,2005.0,Shooter,Ubisoft,0.19,0.05,0.0,0.01,0.25,70.0,19.0,7.4,21.0,T
Grandia,PS,1999.0,Role-Playing,Ubisoft,0.14,0.09,0.0,0.02,0.25,89.0,14.0,6.6,77.0,E
Pirates of the Caribbean: The Legend of Jack Sparrow,PS2,2006.0,Adventure,Ubisoft,0.12,0.09,0.0,0.03,0.25,51.0,32.0,7.5,13.0,T
"Ed, Edd n Eddy: The Mis-Edventures",GC,2005.0,Platform,Midway Games,0.19,0.05,0.0,0.01,0.25,55.0,4.0,7.9,10.0,E
Armored Core 4,X360,2007.0,Simulation,505 Games,0.19,0.01,0.03,0.02,0.25,65.0,31.0,7.2,31.0,T
Total War: Attila,PC,2015.0,Strategy,Sega,0.09,0.13,0.0,0.02,0.25,80.0,66.0,7.3,525.0,T
Disgaea 2: Dark Hero Days,PSP,2009.0,Role-Playing,Nippon Ichi Software,0.1,0.01,0.12,0.02,0.25,83.0,33.0,7.1,47.0,T
SBK Superbike World Championship,PS3,2008.0,Racing,Black Bean Games,0.12,0.11,0.0,0.02,0.25,59.0,7.0,6.1,8.0,E10+
Indiana Jones and the Staff of Kings,DS,2009.0,Action,Activision,0.16,0.07,0.0,0.02,0.25,50.0,5.0,6.8,11.0,T
X-Men Origins: Wolverine,Wii,2009.0,Action,Activision,0.19,0.04,0.0,0.02,0.25,53.0,8.0,6.1,10.0,T
Major League Baseball 2K7,PS3,2007.0,Sports,Spike,0.23,0.0,0.0,0.02,0.25,74.0,19.0,4.7,7.0,E
The Chronicles of Riddick: Assault on Dark Athena,PS3,2009.0,Shooter,Vivendi Games,0.12,0.09,0.0,0.04,0.25,80.0,45.0,7.7,40.0,M
Final Fantasy XI: Chains of Promathia,PS2,2004.0,Role-Playing,Square Enix,0.12,0.09,0.0,0.03,0.25,77.0,13.0,8.0,10.0,T
X-Men Legends II: Rise of Apocalypse,GC,2005.0,Role-Playing,Activision,0.19,0.05,0.0,0.01,0.25,82.0,34.0,6.2,26.0,T
Family Guy: Back to the Multiverse,X360,2012.0,Action,Activision,0.14,0.09,0.0,0.02,0.25,39.0,28.0,5.0,51.0,M
Ninja Gaiden 3,X360,2012.0,Action,Tecmo Koei,0.16,0.05,0.03,0.02,0.25,58.0,39.0,4.4,136.0,M
